Ticker,date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
LIN,1992-11-24,8.0625,8.25,8.0625,8.125,4.806190013885498,470400,False,0.015503952455012274,0.020638754975505245,0.20372996455007505,41,40,13
LIN,1992-11-25,8.25,8.375,8.1875,8.3125,4.917101860046387,1022000,False,0.022814630770476792,0.02059340862135143,0.20326114633133216,41,40,13
LIN,1992-11-27,8.3125,8.375,8.3125,8.375,4.954072952270508,747800,True,0.007490752783090575,0.02072817392121477,0.20465443205428085,41,40,13
LIN,1992-11-30,8.375,8.4375,8.25,8.25,4.880130290985107,998000,True,-0.015038138410421887,0.02230472766396017,0.22095380454449873,41,40,13
LIN,1992-12-01,8.25,8.375,8.125,8.1875,4.86142635345459,2407000,False,-0.003840035262743861,0.01510649920481815,0.14653413603327428,44,48,16
LIN,1992-12-02,8.1875,8.375,8.125,8.3125,4.935647964477539,1942400,False,0.015152080840937129,0.01504828932870023,0.1459323268924053,44,48,16
LIN,1992-12-03,8.3125,8.4375,8.25,8.25,4.898536682128906,1448200,False,-0.007547439843537941,0.012048758983670608,0.11492135589676258,45,48,16
LIN,1992-12-04,8.375,8.4375,8.3125,8.375,4.972756385803223,1611400,False,0.015037766945863304,0.01369983049587024,0.13199113845835528,44,48,16
LIN,1992-12-07,8.3125,8.4375,8.25,8.375,4.972756385803223,884800,True,0.0,0.010685549399257746,0.10082766521173238,45,48,16
LIN,1992-12-08,8.25,8.3125,8.25,8.3125,4.935647964477539,1178000,False,-0.007490327102325361,0.011433194283073166,0.10855727323035427,45,48,16
LIN,1992-12-09,8.3125,8.375,8.25,8.25,4.898536682128906,815000,False,-0.007547439843537941,0.009807833113935155,0.0917532998492865,46,48,16
LIN,1992-12-10,8.25,8.5,8.25,8.4375,5.009867191314697,1170600,False,0.022472881810131795,0.013631100620377966,0.13128056715876604,44,48,16
LIN,1992-12-11,8.3125,8.375,8.25,8.3125,4.935647964477539,461600,False,-0.014925441966593837,0.014401797483491434,0.13924850057475838,44,48,16
LIN,1992-12-14,8.3125,8.375,8.125,8.125,4.82431697845459,967400,True,-0.022814798158164208,0.017158838645352337,0.16775247075326885,43,40,13
LIN,1992-12-15,7.875,8.0,7.8125,8.0,4.750097751617432,2203000,False,-0.015503968778352237,0.017691704029806018,0.173261557537224,43,40,13
LIN,1992-12-16,8.0,8.1875,8.0,8.125,4.82431697845459,834600,False,0.015503968778352271,0.02050879018571605,0.20238630942310293,41,40,13
LIN,1992-12-17,8.0625,8.4375,8.0625,8.375,4.972756385803223,1126000,False,0.03030512526048945,0.023083405073240162,0.2290042457057818,40,40,13
